지점,지점명,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
904,사상,2023-03-17 16:00,11.4,97.8,3.6,0,57
904,사상,2023-03-17 17:00,11.1,62.7,3.3,0,57
904,사상,2023-03-17 18:00,10.7,61.5,3.1,0,57
904,사상,2023-03-17 19:00,10.3,59.6,3.2,0,58
904,사상,2023-03-17 20:00,10.2,49,2.6,0,59
904,사상,2023-03-17 21:00,10.3,58,2.5,0,59
904,사상,2023-03-17 22:00,10.2,41.2,3.4,0,60
904,사상,2023-03-17 23:00,10.1,34.9,2.6,0,61
904,사상,2023-03-18 00:00,9.5,36.1,3.1,0,63
904,사상,2023-03-18 01:00,9.3,39.5,3.5,0,63
904,사상,2023-03-18 02:00,9.3,28.8,3.6,0,63
904,사상,2023-03-18 03:00,9.2,31.4,3.6,0,64
904,사상,2023-03-18 04:00,9,32.7,3.2,0,66
904,사상,2023-03-18 05:00,9.2,36,3.4,0,65
904,사상,2023-03-18 06:00,9.2,28.8,2.5,0,65
904,사상,2023-03-18 07:00,9,336.3,2.3,0,67
904,사상,2023-03-18 08:00,9.2,298,1.8,0,67
904,사상,2023-03-18 09:00,10.5,13.4,2.3,0,61
904,사상,2023-03-18 10:00,11,16.5,2.5,0,58
904,사상,2023-03-18 11:00,12,350.6,2.6,0,55
904,사상,2023-03-18 12:00,13.7,353.5,.9,0,48
904,사상,2023-03-18 13:00,14.1,301.2,2.3,0,43
904,사상,2023-03-18 14:00,14.7,231.7,3.7,0,45
904,사상,2023-03-18 15:00,14.6,211.5,5.7,0,55
904,사상,2023-03-18 16:00,15.3,158.2,2.3,0,50
904,사상,2023-03-18 17:00,13.5,126.4,3.9,0,55
904,사상,2023-03-18 18:00,12.7,159.1,3.1,0,59
904,사상,2023-03-18 19:00,11.9,133.1,1.8,0,62
904,사상,2023-03-18 20:00,11.2,171,1.5,0,66
904,사상,2023-03-18 21:00,11.3,50.2,1.7,0,66
904,사상,2023-03-18 22:00,7.8,321,1.1,0,82
904,사상,2023-03-18 23:00,8.1,23.5,1.8,0,81
904,사상,2023-03-19 00:00,6,324.8,1.6,0,88
904,사상,2023-03-19 01:00,5.6,29.9,2,0,94
904,사상,2023-03-19 02:00,5.2,338,1.6,0,92
904,사상,2023-03-19 03:00,5.8,33.3,1,0,93
904,사상,2023-03-19 04:00,4.7,25.6,1.7,0,97
904,사상,2023-03-19 05:00,5.2,329.9,1.3,0,93
904,사상,2023-03-19 06:00,4,358.1,1.1,0,94
904,사상,2023-03-19 07:00,5.5,26.9,1.6,0,79
